"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Angola","AGO","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","183.00740615325","180.073154191759","170.91910993927","168.427194892632","171.494650382206","184.014770850049","190.709924923833","205.986450178046","283.310226460724","277.471875835779","252.893561577246","235.639038711313","224.671287477566","211.424181967397","216.494271466025","217.461650859018","221.644341824458","203.92476723185","214.021687995642","206.862735628268","169.136964797735","149.830602124227","130.653340811505","124.313531757624","131.878640387017","135.56189512006","132.381993937626","",
"Angola","AGO","Energy use (kt of oil equivalent)","EG.USE.COMM.KT.OE","","","","","","","","","","","","3850.748","4145.619","4130.688","4219.849","4120.914","4072.554","4015.1","4416.958","4478.234","4563.057","4593.167","4530.724","4656.722","4704.76","4990.212","5047.687","5169.583","5379.489","5499.372","5883.156","6024.041","6057.633","6273.668","6359.436","6398.917","6630.11","6820.913","6855.517","7247.348","7499.003","7883.388","8304.163","9003.654","9675.667","9355.796","10006.357","10697.001","11584.237","12585.724","13378.087","13576.207","",
"Angola","AGO","Combustible renewables and waste (metric tons of oil equivalent)","EG.USE.CRNW.KT.OE","","","","","","","","","","","","3188.983","3205.747","3230.128","3263.011","3304.61","3350.651","3407.151","3471.197","3536.843","3600.961","3661.974","3723.608","3786.341","3850.196","3916.535","3983.351","4055.517","4134.75","4222.772","4321.755","4422.552","4525.618","4630.929","4728.24","4873.98","5014.084","5150.582","5289.898","5440.485","5607.191","5793.216","5995.337","6208.728","6424.962","6639.165","6848.951","7056.325","7262.863","7471.025","7683.199","7899.003","",
"Angola","AGO","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","82.8146375717133","77.3285485231518","78.1983049797031","77.3253023982612","80.1911905950961","82.2739489764899","84.8584344101019","78.5879557831431","78.9785214439442","78.9155384208437","79.7265590386764","82.1857168964607","81.3091483665978","81.8361829296287","78.4843409458356","78.9143819733672","78.449596418125","76.8613896226947","76.7864403426428","73.4598062672484","73.415038177861","74.7093460432483","73.8153341872729","74.3499895273732","76.1688266936421","75.6259549238248","75.5116213914472","77.1626414171243","75.0686320016646","74.7724864225284","73.486374132543","72.1967644421238","68.9578697715394","66.4032980878734","70.9631227529972","68.4459988785129","65.9654514382115","62.6960843428877","59.3611062820065","57.4312231636706","58.1826941796041","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","636.569974214832","670.71847410305","653.273883186566","651.680616271009","620.84136079937","598.136833974838","574.443276033507","614.794686965338","605.23186007576","597.482356290135","581.275951135617","553.195671892859","548.503721614386","535.559736283991","550.574459770384","541.557921001026","540.693557655238","549.036415900911","547.139511535665","569.309542509061","565.492854552642","550.55586971921","551.669182167392","541.531300219561","528.619774783081","532.45577297362","533.24260041209","521.826457338823","536.418768766724","538.530750244346","548.01758157973","557.829020968827","583.853849358751","605.610540089123","565.497060753455","584.401236998836","603.912792223307","632.519278093172","664.973674686223","684.331788984509","672.739214954642","",
"Angola","AGO","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","0.15","","0.13","","0.29","","0.36","","0.39","","0.43","","0.42",
"Angola","AGO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","0.3","","0.19","","0.39","","0.5","","0.53","","0.65","","0.63",
"Albania","ALB","Energy production (kt of oil equivalent)","EG.EGY.PROD.KT.OE","","","","","","","","","","","","2434.138","2983.013","3022.164","2724.566","2927.241","3097.062","3190.363","3498.137","3405.8","3448.076","2698.676","2661.127","2820.078","3024.433","2821.059","3010.075","2914.379","2903.023","2912.657","2459.909","1923.244","1404.049","1332.166","1283.263","1241.198","1329.539","1105.474","1089.098","1070.264","986.197","883.001","960.18","1009.912","1174.703","1136.384","1223.372","1054.484","1153.187","1251.949","1622.319","1486.389","",
"Albania","ALB","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","1.76136428218931","2.32037851303403","2.53914347863035","2.5253846631934","2.48842900395416","2.84071361174237","2.86132221069498","2.99477356471499","2.97904619901758","3.42064133319611","3.47567361681338","3.61450640821687","4.71844190914303","5.39330757031779","5.60422577443831","6.91715927984427","7.19640264844654","7.71842008303195","8.17653182572901","6.83163915846792","7.41742980207623","8.02792322694839","7.5790896823421","8.17336351703884","8.09849948159385","8.82427346209916","10.3729175867565","11.2384630996785","12.6259640908162","13.2338299927913","13.4312331705582","13.1210565152049","",
"Albania","ALB","GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","3.68909554662405","4.44346728781506","4.58315515893685","4.38487546056371","4.16430976171919","4.61296917892286","4.54481427296488","4.62138002407049","4.44240943690398","4.91587102639126","4.81244326723903","4.84018530574414","6.18812300716476","6.92144824998125","7.04861633909986","8.50213738529749","8.69146363137713","9.14562433916525","9.55422271612296","7.86736589509365","8.36105623656875","8.84860872124024","8.22040167497175","8.6820751128528","8.36730997143028","8.82427346209916","9.73255362113817","10.5285426508928","11.1397102288002","11.465217727516","11.9203089790912","11.6338135060971","",
